Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK,AAPL,MSFT,AMZN,GOOGL,CSCO,QCOM,UNH,COST,CVX,NEE
Apr-15,-0.019673504,0.012676156,0.049740352,0.009475806,0.039835599,0.009861933,-0.006421543,0.024169955,-0.04843099,-0.024836901,0.097815479,0.039818276,-0.017955774,0.035781524,0.007016288,-0.014086313,0.029848323,0.041503035,-0.004792159,0.02233044,0.040990789,-0.03659537,0.017663211,-0.00628674,0.016649308,0.024705887,0.079084358,-0.003215706,-0.072573363,0.013970039
May-15,-0.012809564,-0.048181818,0.012609729,-0.026762532,0.030100334,-0.042236328,-0.00896487,-0.035107904,-0.04497019,-0.023474178,0.058174857,-0.02227721,-0.005860291,0.031515179,-0.025669288,-0.001913529,0.009010454,-0.002602773,-0.034910335,-0.065035365,-0.037227499,-0.057831819,0.011322602,-0.009682386,-0.063118404,-0.101176797,0.014890616,-0.052808745,-0.063398046,-0.042114498
Jun-15,0.039287774,0.048710602,-0.017816945,0.028216704,0.011363636,0.047157787,0.050383928,0.075454305,0.014803473,-0.047956731,0.012217083,0.121965668,-0.0729781,0.050528712,-0.017689091,-0.019683039,0.041970525,0.05309099,0.066857936,0.035657831,-0.03292671,0.057757625,0.235112562,0.217502371,0.034959979,0.028101521,-0.00491802,0.075818197,-0.082823653,0.073140857
Jul-15,-0.093570091,-0.060949979,-0.080314039,-0.062169444,-0.064643222,-0.042843233,-0.048467855,-0.106491219,-0.100720624,-0.050119934,-0.025559148,-0.053623487,-0.0278519,-0.086129702,-0.049042171,-0.078617979,-0.10855595,-0.004870543,-0.066993988,-0.086668921,-0.070403963,-0.068094224,-0.043383384,-0.014722469,-0.089373712,-0.121292089,-0.046952261,-0.03613214,-0.084651958,-0.064543664
Aug-15,0.002066116,-0.027156073,-0.078685048,-0.006703554,-0.048829953,0.02034588,0.036939592,-0.025138412,0.00169629,-0.011828814,0.016272058,-0.023001393,-0.144950307,-0.046511641,0.016116052,0.017970911,-0.128184586,-0.008329051,-0.005889739,-0.082822596,-0.021816238,0.017003627,-0.00194978,-0.014587322,0.014296787,-0.050371195,0.002679388,0.032274218,-0.026052607,-0.008738955
Sept-15,0.130736922,0.04309816,0.079074586,0.082271023,0.053796949,0.05558325,0.13924693,0.076728542,-0.117211321,0.112844654,-0.025331613,0.113695058,0.116738023,0.077021872,0.146708952,0.061718024,0.094467918,0.070568895,0.114332528,0.106701747,0.083408855,0.189335775,0.222723655,0.155113748,0.099047634,0.105899845,0.015257276,0.093726133,0.152129823,0.052383398
Oct-15,-0.017694334,-0.01418909,0.01344,0.002078591,0.037821012,0.006375443,0.01701559,-0.031048325,0.027951027,-0.013052937,0.005761937,0.018432589,-0.004658122,0.038736567,0.03526974,-0.020162359,-0.023509618,0.082821138,-0.011425363,-0.030186628,-0.010041815,0.032484785,0.062150554,0.034527256,-0.055459285,-0.178895954,-0.043046355,0.020870245,0.004841576,-0.027274527
Nov-15,-0.005912685,-0.015288239,-0.051520893,0.014618728,-0.00974805,0.007977475,0.03486335,-0.014952856,0.041808791,-0.04543228,0.027059985,-0.018478661,-0.064556123,-0.034423429,0.040414119,0.061063703,0.018744628,-0.012175118,0.005950386,-0.003584221,-0.110228238,0.020791189,0.016681611,0.019872829,-0.003302758,0.024595219,0.043740576,0.000495613,-0.014892692,0.040356487
Dec-15,-0.169167992,-0.01719176,-0.103589857,0.016744548,-0.098894442,-0.000931099,0.04773997,-0.055451343,0.082547435,-0.001282874,-0.061239064,-0.039458479,-0.08416712,-0.159833606,-0.065810573,0.028711732,-0.07326131,-0.049073708,0.023888049,-0.040704322,-0.075242311,-0.007029549,-0.131515432,-0.021413611,-0.12407949,-0.093018631,-0.021081229,-0.064272476,-0.038794997,0.07527192
Jan-16,-0.016232415,0.033906142,-0.0744615,0.007372654,-0.053781513,0.004892824,-0.053239619,-0.026893402,-0.000302896,0.029543995,-0.08975978,-0.028191684,0.087724857,-0.114568589,0.001374561,-0.017137979,-0.005282348,-0.013040707,0.011332037,-0.009078334,-0.006677562,-0.076420386,-0.058739384,-0.057962854,0.10046235,0.120202928,0.034213222,-0.007212787,-0.03504104,0.009936448
