Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM,LLY,V,CAT,BAC,GE,PG,ABBV,HD,PM,MRK,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,UNH,AVGO,MA,COST,NFLX,ADBE,CRM,ORCL,CSCO,ACN,LIN,TMO,ABT,DHR,AMGN,GILD,CVS,MDT,ISRG,SYK,BMY,NKE,DIS,CMCSA,PEP,T,VZ,UPS,RTX,LMT,HON,DE,MMM,IBM,QCOM,TXN,AMD,INTC,AMAT,ADP,INTU,SPGI,BLK,MS,C,SCHW,AXP,USB,BK,CB,SPG,PLD,O,CCI,NEE,DUK,SO,AEP,EXC,SRE,EOG,CVX,COP,SLB,OXY,MPC,PSX,KMI,HAL,LOW,TGT,SBUX,TJX
Nov-14,-0.032598988,0.009819087,0.028767051,-0.033995381,0.040226064,-0.058219942,-0.03212478,0,-0.018961812,0.021095648,0.012771507,0.015531236,-0.090159044,0.049882537,-0.046055096,0.007298419,-0.054335183,0.056036213,-0.063039265,-0.059768211,-0.071891054,-0.028445944,-0.043872091,-0.083540004,-0.033547006,0.0041184,-0.090421996,0.024941693,0.076980712,-0.012945323,-0.002603399,-0.014368525,-0.013300806,-0.009353559,0.060363155,0.006512312,0.034518657,0.009191405,-0.030938144,0.011458148,0.025730038,-0.036416456,-0.060406674,0.054181227,-0.022607361,0.021573297,0.015283587,-0.000338704,-0.031624528,0.018160202,0.01700563,-0.055344665,-0.050593531,-0.075311353,0.011371907,0.044694709,0.005272551,0.00857976,0.021357636,0.026422636,-0.01066779,0.019615916,-0.017456762,-0.043010712,-0.025771788,0.036174672,-0.026506266,-0.017897094,-0.0479349,-0.00423301,0.102899343,0.002594022,0.066031104,0.006708535,0.016968325,0.013489906,0.004722765,0.007245562,0.017738884,0.026904918,-0.052834271,0.018200992,0.032632872,0.035420626,0.055082572,0.025158968,-0.003311579,0.061692786,0.03040321,0.045255,-0.006282645,0.052972511,0.001887066,-0.018077236,0.023216516,-0.068009452,0.077863091,0.02581086,0.010343603,0.036577963
Dec-14,0.118402831,-0.041558442,-0.110509209,-0.042363967,-0.131032279,-0.02486973,-0.013447172,0.003210447,-0.010479837,-0.054407788,0.043629544,-0.027803235,-0.126297364,-0.153158181,-0.054610271,-0.074651396,-0.077781231,-0.005239621,-0.014855729,0.061454515,0.061424231,-0.130247559,-0.042394091,0.142355382,0.012983815,-0.027044259,-0.084573579,0.051043663,0.022765692,-0.047934131,0.008747834,0.293287678,-0.035350754,-0.04822122,-0.068490143,-0.052120736,-0.059119907,-0.069234342,-0.000638533,-0.005775258,-0.038851932,-0.044133336,0.112136638,0.019208869,-0.011080269,-0.065149151,-0.034771533,0.021006297,-0.040561638,-0.034292422,-0.083778695,-0.008248718,-0.01994642,-0.022873017,-0.110911235,-0.001913027,-0.021810313,-0.02161733,-0.0370747,-0.012292988,-0.044440344,-0.159693293,-0.00037405,-0.037453236,-0.089556349,-0.083467091,-0.010075614,-0.058249296,0.005169691,-0.047684271,-0.128608195,-0.132323041,-0.139450179,-0.132738589,-0.06763072,-0.112644805,-0.060236754,0.090879155,0.049035572,0.138335748,0.099237681,0.027754228,0.04309311,0.032783559,0.034420292,-0.02804743,0.005028714,-0.033018366,-0.086022477,-0.08803936,-0.035358906,-0.0075673,0.025814249,-0.019246824,-0.029780243,0.016781078,-0.015116292,-0.030299077,0.066788489,-0.038495178
Jan-15,0.037696911,0.024320756,0.100806218,0.023666866,0.126884884,0.051736701,0.069883167,0.098239905,-0.012355965,0.012811714,-0.025416692,0.064336408,0.036638743,0.04356441,0.087902948,0.009965551,0.002485527,0.098927428,0.033898321,-0.028865289,0.096449323,0.085395961,0.148958406,0.072292889,0.046656113,0.04031086,-0.001276992,0.069458798,0.240474334,0.098744345,0.027764187,0.074943416,0.127905341,0.229052193,0.046073056,0.119074679,0.071403071,0.06061867,0.038255738,0.058311008,0.059480422,0.035859759,-0.012401059,0.058170323,0.086694603,0.011163266,0.040636978,0.010784764,0.052791358,0.144239258,0.117215471,0.055448973,0.049817727,0.081820209,0.029239247,0.062118836,0.062005671,0.05135032,0.063505058,0.039125017,0.056291247,0.160903029,0.100093515,0.210116722,0.006355904,0.096760029,0.076457017,0.124510454,0.152728037,0.090775609,0.05856254,0.116506865,0.12933028,0.011153723,0.064423784,0.087222205,0.056039303,-0.04177994,-0.053832529,-0.078254473,-0.002311924,-0.052911011,-0.098576961,-0.097200319,-0.083266987,-0.058823508,-0.033238039,0.007750224,0.040475974,0.035249245,0.021483242,-0.026499976,0.134031798,0.115756533,-0.000974444,0.073768363,0.093417857,0.043744073,0.068090931,0.040946267
Feb-15,-0.005104408,-0.020961943,-0.009589546,-0.018632329,-0.011422977,-0.063510393,-0.014762386,0.013696609,-0.020016871,-0.039981929,0.035342788,-0.035641823,-0.034620057,-0.026565469,-0.04540213,-0.037472042,-0.032396679,-0.009934635,-0.091972003,-0.018107301,-0.031371681,-0.072747976,-0.051224003,-0.021201594,-0.014094507,0.041154868,-0.071653332,0.04101033,-0.005014898,-0.041495595,0.030892713,-0.122591761,-0.065233832,-0.037042372,-0.01528978,-0.067095884,0.040653157,-0.055981263,0.033384587,-0.021954763,-0.027268574,0.013504976,-0.05215881,-0.006354132,0.005155323,0.010059974,-0.026385224,0.058765626,0.033051884,0.007782451,-0.049006386,-0.033946257,-0.055266138,-0.0165824,-0.04708543,-0.038635036,0.014546381,0.014886092,-0.032119162,-0.021938911,-0.008892217,-0.043718187,-0.027380963,-0.138263615,-0.059548858,-0.099401191,-0.036019778,-0.006862626,0.002909826,-0.015023469,-0.00279414,-0.017168976,0.037491492,-0.042529645,-0.021071563,0.0281043,-0.022103361,0.027736913,0.019901716,0.030763094,-0.043679721,0.005702725,-0.022533472,-0.032976678,-0.023098329,-0.009139172,0.007578556,0.021957213,-0.015935479,-0.045092006,-0.008555147,-0.062660504,-0.024857149,0.001784341,0.025603587,0.021891068,0.004049171,0.068202496,0.012942551,0.020542012
Mar-15,-0.044909382,-0.021549335,0.044953982,-0.013916501,0.044239023,0.000246609,-0.009133826,-0.024721643,-0.051064326,0.027882353,-0.01073639,0.009784427,0.085592885,0.035087716,0.091495407,-0.029655849,0.104543947,-0.058357514,0.108057868,0.036186513,0.005786396,0.196261672,0.060678499,0.133512562,-0.010690505,-0.041960649,0.197488932,-0.058246676,-0.079540103,0.044218078,-0.055775557,0.33552525,0.028671829,0.089956629,0.010892176,0.047221184,-0.011100447,0.009855909,-0.064463274,0.001942507,-0.035571218,-0.012136393,0.024253592,-0.037980798,-0.045390448,-0.017919703,-0.000108424,-0.011937992,-0.014851046,0.036514461,0.022843962,-0.005229031,0.060949388,0.037219772,0.037033178,-0.029436913,-0.080607017,-0.032499223,0.032272712,-0.051894553,0.067227436,-0.019325013,-0.052107005,-0.156716442,0.040933763,-0.122783627,-0.012844447,0.034756629,0.008704077,-0.005193511,0.045390944,0.034937873,0.001971073,-0.008576623,-0.018319196,0.052186839,-0.040362365,-0.072326692,-0.077134998,-0.089728699,0.011994159,-0.029985609,0.01028915,0.000451682,0.011022203,0.012198714,-0.026141979,0.079179783,0.057915736,0.090909091,0.133868622,0.097260257,-0.037308328,0.009033067,0.021160232,0.115542379,-0.074337933,-0.039478468,0.047096165,-0.078658128
Apr-15,-0.019673504,0.012676156,0.049740352,0.009475806,0.039835599,0.009861933,-0.006421543,0.024169955,-0.04843099,-0.024836901,0.097815479,0.039818276,-0.017955774,0.035781524,0.007016288,-0.014086313,0.029848323,0.041503035,-0.004792159,0.02233044,0.040990789,-0.03659537,-0.003153139,0.017663211,-0.00628674,0.005332053,0.109489028,0.079084358,0.266854937,0.022724787,-0.003215706,0.121401664,0.039836956,-0.00096127,-0.002980221,0.016649308,0.036589307,0.00762733,0.031429062,0.046962525,0.054225682,-0.010449048,0.117003226,0.031120922,0.025117566,-0.016593471,0.042172588,0.013651325,0.028632152,0.015176614,0.012119095,0.013772051,-0.002886851,-0.019825536,-0.013030912,0.030065949,0.008574442,0.032500957,0.034909454,0.017200682,-0.009574366,0.024705887,0.031543979,0.008849549,0.058678952,0.017180305,0.011473873,0.038074351,-0.005273279,0.005055768,0.023854177,0.014253604,0.037704906,0.029309288,0.00559836,0.024090705,-0.004766749,-0.000495959,-0.015174144,-0.029806201,-0.023704008,0.013970039,-0.023720463,-0.013769766,-0.010198664,-0.00558496,0.012244542,-0.103688679,-0.072573363,-0.062426354,-0.040587717,-0.023845201,0.049609409,-0.002395597,-0.033992993,-0.072522966,0.016264925,0.00621588,0.04800317,-0.002479139
May-15,-0.012809564,-0.048181818,0.012609729,-0.026762532,0.030100334,-0.042236328,-0.00896487,-0.035107904,-0.04497019,-0.023474178,0.058174857,-0.02227721,-0.005860291,0.031515179,-0.025669288,-0.001913529,0.009010454,-0.002602773,-0.034910335,-0.065035365,-0.037227499,-0.057831819,-0.091278868,0.011322602,-0.009682386,0.083091224,0.069617315,0.014890616,-0.102248931,0.013223512,-0.052808745,0.052687227,0.024276216,-0.042886636,-0.073350249,-0.063118404,0.007705101,-0.026941214,0.001002774,0.009876613,-0.008456897,-0.017534816,0.042843193,0.024418832,-0.029088066,-0.006663242,-0.005825419,0.030030998,0.062456955,0.034157801,0.028737612,-0.032044011,0.028372964,-0.057241062,-0.023281572,-0.053255904,-0.012221058,-0.021401162,0.035973556,-0.030047794,-0.041202483,-0.101176797,-0.078862661,0.052631634,-0.117237351,-0.045206154,-0.061747148,-0.032453239,-0.031807258,-0.054130865,0.01544503,0.021449701,0.031595637,-0.025087807,0.006726999,-0.032057181,-0.045078915,-0.046196196,-0.062894713,-0.025894289,-0.015328019,-0.042114498,-0.067476567,-0.040970409,-0.058980274,-0.071238479,-0.079370975,-0.012853753,-0.063398046,-0.035646992,-0.050457138,-0.005371467,0.011212098,0.018200136,-0.074716851,-0.051321625,-0.043012318,0.029122511,0.03194765,0.027803681
Jun-15,0.039287774,0.048710602,-0.017816945,0.028216704,0.011363636,0.047157787,0.050383928,0.075454305,0.014803473,-0.047956731,0.012217083,0.121965668,-0.0729781,0.050528712,-0.017689091,-0.019683039,0.041970525,0.05309099,0.066857936,0.035657831,-0.03292671,0.057757625,-0.007956198,0.235112562,0.217502371,0.096070955,-0.00786552,-0.00491802,-0.058602292,0.041934082,0.075818197,0.218025969,0.012097219,0.052707252,-0.008933018,0.034959979,0.065406095,-0.045253062,0.075292884,0.032803519,0.069751148,0.150273524,0.006662101,0.072368461,0.05789475,0.100454114,0.07010565,-0.013525722,0.066654368,0.051340465,0.037745267,0.032247721,-0.021959489,0.003861839,0.056237713,-0.09573605,0.114039876,0.030205025,-0.025553872,-0.019183453,-0.004119107,0.028101521,-0.029702948,-0.195833387,-0.048323449,-0.09677413,-0.0057336,0.049617944,0.012941793,-0.027920699,0.001288972,0.058291045,0.068300136,-0.02135877,0.041705011,0.034071962,0.069728524,0.082071417,0.094609226,0.087857675,0.02004982,0.073140857,0.050977037,0.067541716,0.067962968,0.021323883,0.028704227,-0.118332384,-0.082823653,-0.180263796,-0.039099694,-0.097338372,0.045115594,-0.013157865,-0.097681689,-0.029719034,0.035687612,0.002695103,0.080380482,0.055160974
Jul-15,-0.093570091,-0.060949979,-0.080314039,-0.062169444,-0.064643222,-0.042843233,-0.048467855,-0.106491219,-0.100720624,-0.050119934,-0.025559148,-0.053623487,-0.0278519,-0.086129702,-0.049042171,-0.078617979,-0.10855595,-0.004870543,-0.066993988,-0.086668921,-0.070403963,-0.068094224,0.126816993,-0.043383384,-0.014722469,-0.04871824,-0.064211931,-0.046952261,0.006632586,-0.051642697,-0.03613214,0.006298706,-0.041712383,-0.053751736,-0.071357,-0.089373712,-0.08573372,-0.073506215,-0.101483524,-0.106529845,-0.049585008,-0.140494921,-0.108518589,-0.089534983,-0.077816029,-0.041675301,-0.035396453,-0.093997535,-0.03011631,-0.151000023,-0.097420285,-0.035495571,-0.044329276,-0.016670284,-0.046014059,-0.086731161,-0.028585289,-0.055021439,-0.135243745,-0.060790265,-0.087042388,-0.121292089,-0.042817115,-0.06217617,-0.014162343,-0.073156706,-0.030713264,-0.189278598,-0.046781348,-0.100648208,-0.11302779,-0.085186446,-0.129013812,0.008677408,-0.063260355,-0.082949359,-0.06077037,-0.042196314,-0.064269898,-0.074549609,0.018068559,-0.064543664,-0.04459711,-0.029510389,-0.040304027,-0.041445846,-0.068088037,0.014509588,-0.084651958,-0.023639226,-0.065805324,0.040028471,-0.134625883,-0.005408809,-0.064376431,-0.058387231,-0.002739366,-0.050580323,-0.055584347,0.007161272
Aug-15,0.002066116,-0.027156073,-0.078685048,-0.006703554,-0.048829953,0.02034588,0.036939592,-0.025138412,0.00169629,-0.011828814,0.016272058,-0.023001393,-0.144950307,-0.046511641,0.016116052,0.017970911,-0.128184586,-0.008329051,-0.005889739,-0.082822596,-0.021816238,0.017003627,0.096530257,-0.00194978,-0.014587322,0.005255521,-0.002650002,0.002679388,-0.00762084,-0.024358557,0.032274218,-0.102321135,0.04645541,0.001009223,-0.026152635,0.014296787,0.042325296,-0.036784864,-0.024647076,-0.111945233,-0.02079979,-0.08868093,-0.06548013,-0.057812481,-0.074007448,-0.100538169,-0.046122686,-0.004540112,0.100402695,0.003140947,0.009763908,0.014742309,-0.018674736,-0.054336016,0.010650291,-0.028599472,0.030470251,-0.046136811,-0.095133271,-0.002603065,-0.019744357,-0.050371195,0.035117063,-0.049723711,0.056061613,-0.0870106,0.039317136,0.034985423,-0.10815546,-0.016530565,-0.08563137,-0.072363481,-0.059907826,-0.033759175,-0.031641091,-0.016331601,0.012137802,0.024537105,0.023684251,0.060416212,-0.054203102,-0.008738955,0.014525437,0.029716676,0.047338362,-0.034460369,0.019715369,-0.070361316,-0.026052607,-0.024211646,-0.108569229,-0.093959699,-0.020714426,-0.028202901,-0.145942597,-0.101651846,-0.003614284,0.012224998,0.038932574,0.015642754
