Date,BA,BRKB,GS,JNJ,JPM,KO,MCD,PFE,WMT,XOM
Apr-17,0.015149056,0.000423703,-0.056032172,0.038713858,-0.055747126,0.053765933,0.078324877,-0.037441105,0.045491367,-0.014084507
May-17,0.053935938,0.024745886,0.05036448,0.031500975,0.112598904,-0.013635364,0.015044072,0.02878781,-0.03714928,0.002857143
Jun-17,0.226093552,0.033063707,0.015457413,0.003250435,0.004376368,0.022073579,0.012927657,-0.012800864,0.056952241,-0.008547009
Jul-17,-0.011548297,0.035377493,-0.007056317,-0.002637131,-0.009912854,-0.006326353,0.03113317,0.022921041,-0.02400321,-0.046351824
Aug-17,0.060711007,0.011923162,0.060114419,-0.017828813,0.050830674,-0.011855104,-0.020566356,0.05247477,0.000895358,0.0740207
Sept-17,0.014830258,0.019746891,0.022302795,0.072302131,0.05339755,0.021550766,0.065292316,-0.017927533,0.11735211,0.016711393
Oct-17,0.072951392,0.032470311,0.021280106,-0.000573847,0.038862936,-0.004567203,0.030315739,0.034228872,0.113620589,-0.000719856
Nov-17,0.065426301,0.02699342,0.028751413,0.00279911,0.023153463,0.002403321,0.000872245,-0.001105529,0.015631123,0.004202185
Dec-17,0.201620833,0.081525578,0.051538703,-0.010950472,0.081634561,0.037271142,-0.005693702,0.022641817,0.079495569,0.043758967
Jan-18,0.022123769,-0.03349193,-0.018515062,-0.060134597,-0.001469698,-0.091826014,-0.078298469,-0.019708306,-0.155629978,-0.132416953
Feb-18,-0.094779272,-0.037258687,-0.042102461,-0.013319988,-0.047878788,0.004858862,-0.008621783,-0.02258564,-0.011552178,-0.014919461
Mar-18,0.017323411,-0.028824945,-0.053720321,-0.01295357,-0.010821133,-0.005065623,0.070725157,0.031558109,-0.005732321,0.042085511
Apr-18,0.055762082,-0.011356011,-0.052238493,-0.054312594,-0.016271373,-0.004859986,-0.044374104,-0.018574014,-0.066922378,0.04488746
May-18,-0.047279646,-0.025479037,-0.023508057,0.014378866,-0.026259228,0.02,-0.020748703,0.00974169,0.037676598,0.018340719
Jun-18,0.061965366,0.06011251,0.076438319,0.092137795,0.103166987,0.063155495,0.005424724,0.100605962,0.041797287,-0.014746767
Jul-18,-0.037917485,0.054833982,0.001600472,0.016374887,-0.003218791,-0.044177568,0.029770217,0.039821302,0.074303197,-0.016439701
Aug-18,0.084920797,0.025824071,-0.057062361,0.025837107,-0.015185896,0.036347319,0.031190285,0.061416859,-0.020342378,0.060496445
Sept-18,-0.045818768,-0.041240484,0.005039244,0.013172179,-0.033853244,0.036588006,0.057445155,-0.022919749,0.067830559,-0.062808751
Oct-18,-0.022825903,0.063133281,-0.153880286,0.049360669,0.019904605,0.052631579,0.0656303,0.073618219,-0.026224859,-0.002259036
Nov-18,-0.069961933,-0.064424487,-0.123970843,-0.121511232,-0.122043349,-0.060515873,-0.058034057,-0.055807702,-0.046083374,-0.142264151
Dec-18,0.19572093,0.006660789,0.185333732,0.031228206,0.060233559,0.016473073,0.006814214,-0.027490454,0.028770004,0.074644376
Jan-19,0.140915928,-0.020628588,-0.006615827,0.026750827,0.008309179,-0.057968003,0.028302942,0.021200035,0.032974361,0.078466157
Feb-19,-0.133057551,-0.002036761,-0.023945094,0.023053279,-0.029992334,0.033524482,0.032963446,-0.020299998,-0.014747108,0.022396558
